afghanistan, infantry
alaska, artillery
alberta, artillery
argentina, infantry
brazil, infantry
central_america, infantry
china, artillery
congo, artillery
east_africa, infantry
eastern_australia, cavalry
eastern_united_states, artillery
egypt, cavalry
great_britain, infantry
greenland, cavalry
iceland, cavalry
india, cavalry
indonesia, infantry
irkutsk, artillery
japan, cavalry
kamchatka, artillery
madagascar, cavalry
middle_east, artillery
mongolia, cavalry
new_guinea, cavalry
northwest_territory, cavalry
north_africa, infantry
northern_europe, cavalry
ontario, artillery
peru, cavalry
quebec, artillery
scandinavia, infantry
siam, cavalry
siberia, infantry
south_africa, artillery
southern_europe, infantry
ukraine, infantry
ural, infantry
venezuela, cavalry
western_australia, artillery
western_europe, infantry
western_united_states, artillery
yakutsk, artillery
wildcard, null
